ticket,threshold,precision_target_1,recall_target_1,f1_target_1
ticket-4-decision,0.2,0.498,0.9618,0.6562
ticket-4-decision,0.25,0.5401,0.9252,0.682
ticket-4-decision,0.3,0.5813,0.884,0.7014
ticket-4-decision,0.35,0.6368,0.8351,0.7226
ticket-4-decision,0.4,0.7048,0.7802,0.7406
ticket-4-decision,0.45,0.7643,0.7328,0.7482
ticket-4-decision,0.5,0.8237,0.6779,0.7437
ticket-4-decision,0.55,0.8571,0.6137,0.7153
ticket-4-decision,0.6,0.8954,0.5359,0.6705
ticket-4-decision,0.65,0.9358,0.4672,0.6232
ticket-4-decision,0.7,0.9624,0.3908,0.5559
